poly_SMI,Eg,HER,T
O=S1(=O)c2ccccc2-c2ccccc21.Oc1cc(O)cc(O)c1,2.7,2253.5,9.11
O=S1(=O)c2ccccc2-c2ccccc21.c1ccccc1,2.45,1947.9,3.51
O=S1(=O)c2ccccc2-c2ccccc21.Cc1ccccc1,2.71,3363.4,10.05
O=S1(=O)c2ccccc2-c2ccccc21.Cc1ccccc1,2.63,2657.8,28.67
O=S1(=O)c2ccccc2-c2ccccc21.CCc1ccccc1,2.69,651.5,52.04
O=S1(=O)c2ccccc2-c2ccccc21.Cc1ccc(C)cc1,2.77,1243.8,9.01
O=S1(=O)c2ccccc2-c2ccccc21.BrCc1ccc(CBr)cc1,2.55,593.1,41.65
O=S1(=O)c2ccccc2-c2ccccc21.c1ccc2ccccc2c1,2.43,613.1,42.3
O=S1(=O)c2ccccc2-c2ccccc21.c1ccc2ccccc2c1,2.56,8742.2,3.63
O=S1(=O)c2ccccc2-c2ccccc21.c1ccc(-c2ccccc2)cc1,2.53,620.3,85.95
O=S1(=O)c2ccccc2-c2ccccc21.c1ccc(-c2ccccc2)cc1,2.59,2294.8,4.74
O=S1(=O)c2ccccc2-c2ccccc21.c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,2.62,4155.4,5.63
O=S1(=O)c2ccccc2-c2ccccc21.c1ccc(C(c2ccccc2)c2ccccc2)cc1,2.25,527.3,59.26
O=S1(=O)c2ccccc2-c2ccccc21.c1ccc2cc3ccccc3cc2c1,2.52,4953.8,7.86
O=S1(=O)c2ccccc2-c2ccccc21.c1ccc2c(-c3c4ccccc4cc4ccccc34)c3ccccc3cc2c1,2.51,4413,9.45
O=S1(=O)c2ccccc2-c2ccccc21.c1ccc2c(c1)c1ccccc1c1ccccc21,2.52,5630.5,5.12
O=S1(=O)c2ccccc2-c2ccccc21.C=CC1=CCc2cccc3ccc(CBr)c1c23,2.38,1985.6,7.5
O=S1(=O)c2ccccc2-c2ccccc21.N#Cc1ccccc1,2.56,1053.4,3.46
O=S1(=O)c2ccccc2-c2ccccc21.Nc1ccccc1,2.01,20.5,78.29
O=S1(=O)c2ccccc2-c2ccccc21.Nc1ccccc1,2.3,806.3,7.73
O=S1(=O)c2ccccc2-c2ccccc21.c1ccc(-n2c3ccccc3c3ccccc32)cc1,2.31,9772.2,2.68
O=S1(=O)c2ccccc2-c2ccccc21.O=Cc1ccccc1,2.67,1771.8,1.13
O=S1(=O)c2ccccc2-c2ccccc21.O=Cc1ccccc1,2.61,1581.8,10.08
O=S1(=O)c2ccccc2-c2ccccc21.O=C(O)c1cccc(O)c1,2.41,2709.8,15.92
O=S1(=O)c2ccccc2-c2ccccc21.O=C(O)c1ccccc1,2.74,139.2,85.97
O=S1(=O)c2ccccc2-c2ccccc21.O=C(O)c1ccc(C(=O)O)cc1,2.56,2191,10.97
O=S1(=O)c2ccccc2-c2ccccc21.O=C(O)Cc1ccccc1,2.32,786.1,85.44
O=S1(=O)c2ccccc2-c2ccccc21.O=C(c1ccccc1)c1ccccc1,2.75,4461.9,13.52
O=S1(=O)c2ccccc2-c2ccccc21.COC(=O)c1ccoc1,2.49,1051.2,24.79
O=S1(=O)c2ccccc2-c2ccccc21.c1ccc(OCC2CCCCO2)cc1,2.44,987.4,76.89
O=S1(=O)c2ccccc2-c2ccccc21.COc1ccc(OC)cc1,2.5,1474.2,24.02
O=S1(=O)c2ccccc2-c2ccccc21.c1ccc2nsnc2c1,2.24,994.5,4.43
O=S1(=O)c2ccccc2-c2ccccc21.Fc1ccc2nsnc2c1,2.32,60.3,21.59
O=S1(=O)c2ccccc2-c2ccccc21.Fc1cc2nsnc2cc1F,2.36,100.4,27.17
O=S1(=O)c2ccccc2-c2ccccc21.c1ccc2nonc2c1,2,45.9,1.03
O=S1(=O)c2ccccc2-c2ccccc21.c1c2c(cc3nsnc13)NSN2,2.53,371.3,14.62
O=S1(=O)c2ccccc2-c2ccccc21.Fc1ccccc1,2.71,1929.9,7.1
O=S1(=O)c2ccccc2-c2ccccc21.Fc1ccccc1,2.65,7648.8,9.85
O=S1(=O)c2ccccc2-c2ccccc21.Fc1ccccc1F,2.69,5248,5.94
O=S1(=O)c2ccccc2-c2ccccc21.Fc1ccc(F)cc1,2.7,3500.5,12.08
O=S1(=O)c2ccccc2-c2ccccc21.Fc1cc(F)c(F)cc1F,2.81,3533.8,9.6
O=S1(=O)c2ccccc2-c2ccccc21.Fc1cc(F)c(F)c(-c2c(F)c(F)cc(F)c2F)c1F,2.77,3157.2,5.67
O=S1(=O)c2ccccc2-c2ccccc21.FC(F)(F)c1ccccc1,2.72,3581.2,63.72
O=S1(=O)c2ccccc2-c2ccccc21.Ic1ccc(I)cc1,2.77,1327.1,48.5
O=S1(=O)c2ccccc2-c2ccccc21.c1ccncc1,2.65,3968.9,9.34
O=S1(=O)c2ccccc2-c2ccccc21.c1ccncc1,2.7,2245.8,17.66
O=S1(=O)c2ccccc2-c2ccccc21.[O-][n+]1ccccc1,2.33,1535.7,1.67
O=S1(=O)c2ccccc2-c2ccccc21.Oc1ccncc1,2.4,6232,35.62
O=S1(=O)c2ccccc2-c2ccccc21.Oc1ccncc1,2.63,346.9,86.63
O=S1(=O)c2ccccc2-c2ccccc21.Nc1ccnc(Cl)c1,2.45,6038.3,8.33
O=S1(=O)c2ccccc2-c2ccccc21.c1cnccn1,2.49,265.5,8.7
O=S1(=O)c2ccccc2-c2ccccc21.c1cncnc1,2.47,813.2,7.57
O=S1(=O)c2ccccc2-c2ccccc21.Nc1cnccn1,1.86,314.5,87.05
O=S1(=O)c2ccccc2-c2ccccc21.Cn1ccncc1=O,2.28,242.9,0.42
O=S1(=O)c2ccccc2-c2ccccc21.c1ccc2nccnc2c1,2.43,23.5,8.95
O=S1(=O)c2ccccc2-c2ccccc21.c1ccc(-c2ccccn2)nc1,2.65,380.7,36.18
O=S1(=O)c2ccccc2-c2ccccc21.c1ccc(-c2ccccn2)nc1,2.53,578.4,16.26
O=S1(=O)c2ccccc2-c2ccccc21.c1ccc(-c2ccccn2)nc1,2.7,82.5,2.89
O=S1(=O)c2ccccc2-c2ccccc21.c1ccc2c(c1)Cc1ccccc1-2,2.46,8390.1,3.88
O=S1(=O)c2ccccc2-c2ccccc21.c1ccc2c(c1)[nH]c1ccccc12,2.45,5288.4,2.8
O=S1(=O)c2ccccc2-c2ccccc21.c1ccc2c(c1)[nH]c1ccccc12,2.17,83.6,57.35
O=S1(=O)c2ccccc2-c2ccccc21.c1ccc2c(c1)sc1ccccc12,2.55,8461.6,5.1
O=S1(=O)c2ccccc2-c2ccccc21.O=S1(=O)c2ccccc2-c2ccccc21,2.51,3443.2,0.79
O=S1(=O)c2ccccc2-c2ccccc21.O=S1(=O)c2ccccc2-c2ccccc21,2.71,1835.6,0.49
O=S1(=O)c2ccccc2-c2ccccc21.CCn1c2ccccc2c2ccccc21,2.13,349.5,76.76
O=S1(=O)c2ccccc2-c2ccccc21.O=C1c2ccccc2-c2ccccc21,2.14,1854.1,15.55
O=S1(=O)c2ccccc2-c2ccccc21.c1ccsc1,2.41,672.1,23.7
O=S1(=O)c2ccccc2-c2ccccc21.c1ccsc1,2.14,2090.6,8.58
O=S1(=O)c2ccccc2-c2ccccc21.c1ccoc1,2.15,2691,66.95
O=S1(=O)c2ccccc2-c2ccccc21.O=S1(=O)C(Br)=CC=C1Br,3.06,152.7,53.78
O=S1(=O)c2ccccc2-c2ccccc21.c1csc(-c2cccs2)c1,1.99,669.2,5.54
O=S1(=O)c2ccccc2-c2ccccc21.c1csc(-c2ccc(-c3cccs3)s2)c1,1.94,164,4.24
O=S1(=O)c2ccccc2-c2ccccc21.c1cc2cc3sccc3cc2s1,2.18,2390.4,3.64
O=S1(=O)c2ccccc2-c2ccccc21.N#Cc1ccccc1O,2.51,153.1,68.84
O=S1(=O)c2ccccc2-c2ccccc21.Nc1ccc(F)cc1,2.33,1459.4,7.94
O=S1(=O)c2ccccc2-c2ccccc21.O=C1Cc2ccccc2N1,2.32,2327.7,2.42
O=S1(=O)c2ccccc2-c2ccccc21.NNC(=O)COc1ccccc1,2.65,277.7,86.26
O=S1(=O)c2ccccc2-c2ccccc21.CC(Oc1ccccc1)C(=O)NN,2.75,215.7,75.92
O=S1(=O)c2ccccc2-c2ccccc21.COc1ccc(C(=N)NO)cc1,2.52,217.6,83.83
O=S1(=O)c2ccccc2-c2ccccc21.CCN1C(=O)C(=O)c2ccccc21,1.61,88.4,86.57
